0.0314159265359 0.6392515603949 1.056700732453   -0.01641462056977 -0.01057980695271   3.153516972213 -9.315448989026   0.2743360406611 0.5662985818182   
0.09424777960769 0.3434083459824 0.8401368963273   -0.03434425721564 0.1142224756741   -6.309115820548 -3.82586289437   -0.5722955719055 -0.0745647932703   
0.1570796326795 -1.705147999075 1.030915777788   -0.0425270792848 0.1060955778435   -0.03343808940895 12.59607913604   0.7439878684405 1.328095572418   
0.2199114857513 1.984752139719 0.1434841756462   -0.01925379944916 0.04333306577556   3.725364856942 -8.609591776757   0.7252220677065 -0.6313196538136   
0.2827433388231 -1.87573462205 -0.2590245773778   -0.01848315010899 0.02717870940078   1.405632698782 4.372824921998   -1.184188775734 0.5030623546372   
0.3455751918949 -0.09616212966375 1.819877425491   0.007206510124018 0.01604836884379   3.610140033121 -6.02903227686   -1.365210684702 -1.031850517561   
0.4084070449667 1.651112513614 1.736729932695   0.0154364626393 -0.00709332507245   8.585631262621 -8.158640991074   -1.425691415272 -1.709170601585   
0.4712388980385 1.479633568827 -0.2585960989401   0.005583207807113 -0.03182760474943   7.652528815162 1.978039367721   -1.435311622045 -0.9920456786834   
0.5340707511103 0.2618418677837 -2.401573661413   -0.008066265875942 -0.0467990199357   -0.792769955919 14.86554200736   -1.126030403825 0.1466138662785   
0.5969026041821 -0.9223922474873 -3.591544879362   -0.01614349065128 -0.04804356070631   -12.70957383215 23.13832125968   -0.5234545632081 0.9182454604578   
0.6597344572539 -1.557225513806 -3.624842637909   -0.01658696380448 -0.03748773915893   -23.09110249475 24.65403404676   0.1487641456019 1.078560314465   
0.7225663103257 -1.600162249168 -2.805039506219   -0.01143332828854 -0.0196170393992   -28.62643278562 20.63027729771   0.667953430341 0.7437741948439   
0.7853981633974 -1.230434794798 -1.574862080511   -0.003802248905065 0.0009188364753941   -28.24912097237 13.43002283937   0.9115324765062 0.1561880851426   
0.8482300164692 -0.6687495730454 -0.3133762987723   0.003702144296442 0.02046723312838   -22.62071163503 5.237186125366   0.8652196174501 -0.4600133057356   
0.911061869541 -0.09165000448347 0.7337151448329   0.009492126553564 0.03668752565283   -13.34751191236 -2.450847238523   0.5894423015293 -0.9556606621871   
0.9738937226128 0.3914649536699 1.450488828695   0.01292475999657 0.04842787760909   -2.313953022478 -8.856064225259   0.1788065571955 -1.261192177731   
1.036725575685 0.7308472644538 1.818161460633   0.01402562830625 0.0554368097297   8.755231057205 -13.75362082432   -0.2695730632431 -1.368505098039   
1.099557428756 0.9188327010383 1.877937587964   0.01319977604616 0.0580570724836   18.51976127528 -17.26516228209   -0.6751399093824 -1.307653759551   
1.162389281828 0.9723820771017 1.700055663804   0.01100550928696 0.0569666015299   26.0937000818 -19.68296741565   -0.9821281540261 -1.126620006713   
1.2252211349 0.9195789445088 1.361994104368   0.008005729600086 0.05298536420306   31.0202312791 -21.34605625903   -1.160351521949 -0.8768120807409   
1.288052987972 0.7907046503467 0.9351813827116   0.00468559980983 0.04694488371009   33.19808877813 -22.56560793195   -1.201748212893 -0.6041979619636   
1.350884841044 0.6131660330675 0.4782738497609   0.001418039786365 0.03960878040122   32.7912954582 -23.58843126418   -1.115082481386 -0.3449114457992   
1.413716694115 0.4091972675864 0.03492967585058   -0.001540409663908 0.03163108974502   30.14110100671 -24.58613470716   -0.9203560215494 -0.1239662187997   
1.476548547187 0.1953319383977 -0.3656626467008   -0.004036920181155 0.02354055068419   25.68978033923 -25.65961192005   -0.643798793075 0.04411460393541   
1.539380400259 -0.01712767946077 -0.7067926037862   -0.006002278732558 0.01574148343857   19.92008507768 -26.85122893342   -0.3138307309883 0.1536578291068   
1.602212253331 -0.2211805178183 -0.9816466060486   -0.007429218231225 0.008524332974919   13.31044353096 -28.15966679684   0.04191548189476 0.2058095676472   
1.665044106403 -0.4130729274255 -1.190679578162   -0.008352461301153 0.002081055404838   6.304364504946 -29.55439466988   0.3985881425382 0.2065036743133   
1.727875959474 -0.5913108778461 -1.339240667273   -0.008832011383487 -0.003477832661313   -0.7084581495132 -30.98818993554   0.7352840532082 0.1646466036121   
1.790707812546 -0.755829657447 -1.435592324468   -0.008940144895856 -0.008106511334595   -7.401879118471 -32.40707104777   1.035570662084 0.09061844950065   
1.853539665618 -0.9073503219009 -1.489359904649   -0.008751937904214 -0.01180853937328   -13.51626694051 -33.7575853224   1.287536409433 -0.004885010002965   
1.91637151869 -1.046915715101 -1.510389819016   -0.008338854380806 -0.01462350506998   -18.85674992578 -34.9917087144   1.483520143785 -0.111688301527   
1.979203371762 -1.175582717644 -1.507964194851   -0.007764814711637 -0.01661582076752   -23.28835181655 -36.06975700589   1.61964205813 -0.2206918543178   
2.042035224833 -1.294239326798 -1.490308446696   -0.007084160089135 -0.01786561079649   -26.72934022529 -36.96174417441   1.695230645748 -0.3241975102406   
2.104867077905 -1.403515917064 -1.464327720105   -0.006340993110474 -0.01846151687801   -29.14369636277 -37.64759928907   1.712214606311 -0.4160545954321   
2.167698930977 -1.503763032704 -1.43551376413   -0.005569457003911 -0.01849518479718   -30.53339974165 -38.11659940177   1.674527612701 -0.491672900763   
2.230530784049 -1.595072456789 -1.407972185467   -0.004794606519816 -0.01805717756801   -30.93098005854 -38.36631066857   1.587556850686 -0.5479424225769   
2.293362637121 -1.677323956391 -1.384529218822   -0.00403360704294 -0.01723406679471   -30.39262007275 -38.4012651313   1.4576533073 -0.5830925543299   
2.356194490192 -1.750243964795 -1.366885961486   -0.003297069771127 -0.01610647433455   -28.99197755535 -38.23154193428   1.291712292124 -0.5965164904657   
2.419026343264 -1.813466858478 -1.35579588262   -0.002590389986233 -0.01474786339688   -26.81480318058 -37.87137181555   1.096825968243 -0.5885803790993   
2.481858196336 -1.86659253285 -1.351248077769   -0.001915002420445 -0.0132239072639   -23.9543571609 -37.33784324145   0.8800051420845 -0.5604314426681   
2.544690049408 -1.909236568536 -1.352644169654   -0.001269502214433 -0.01159229214081   -20.50760250048 -36.64975697072   0.6479648146182 -0.5138149157114   
2.60752190248 -1.94107098375 -1.358961039073   -0.0006506066855809 -0.009902836706174   -16.57210779867 -35.82665216733   0.4069663887266 -0.4509061725208   
2.670353755551 -1.961855108195 -1.368894844311   -5.395023082767e-05 -0.008197834014888   -12.24360161929 -34.88801009035   0.1627088483439 -0.3741617350128   
2.733185608623 -1.971456734043 -1.380984214442   0.0005252818718784 -0.006512541278167   -7.61408672339 -33.85262963537   -0.07973889903777 -0.2861908444653   
2.796017461695 -1.96986456467 -1.393712233286   0.00109186850051 -0.004875759778344   -2.770446854743 -32.73816148738   -0.3159718796542 -0.1896478304891   
2.858849314767 -1.957192983802 -1.40558801444   0.00165019947363 -0.0033104610169   2.206531875886 -31.56078326568   -0.5422559076981 -0.08714450706897   
2.921681167839 -1.933680613114 -1.415209427559   0.002204035147307 -0.001834426459528   7.24279592309 -30.33499600289   -0.7555134878651 0.01881882916378   
2.98451302091 -1.89968380444 -1.421308972759   0.002756359898316 -0.0004608772776155   12.27137778035 -29.07352193102   -0.9532940229225 0.1259056113772   
3.047344873982 -1.85566648168 -1.422785002477   0.003309311545692 0.0008009223701593   17.23251950172 -27.78728432063   -1.133732789182 0.2319804286827   
3.110176727054 -1.802187309918 -1.418720527598   0.003864169945167 0.001945099399573   22.07362029532 -26.48545155373   -1.295502430772 0.3351337157067   
3.173008580126 -1.739885291519 -1.408391765084   0.004421390315826 0.002968649815594   26.74904508208 -25.17552950877   -1.437760012744 0.4336957026255   
3.235840433197 -1.669464528765 -1.391268434772   0.004980668593685 0.003870964062691   31.21983196299 -23.86348837269   -1.560092088557 0.5262415040652   
3.298672286269 -1.591678860454 -1.367007617754   0.00554102840227 0.004653400711836   35.45332422739 -22.55391211078   -1.662459685882 0.6115890664744   
3.361504139341 -1.50731689544 -1.33544277694   0.006100920701217 0.005318907766731   39.42275668089 -21.25016078403   -1.74514468899 0.6887915134059   
3.424335992413 -1.417187842512 -1.296569319155   0.006658329584907 0.005871689681601   43.10680744313 -19.9545378198   -1.80869866619 0.7571252407169   
3.487167845485 -1.322108436632 -1.250527868202   0.007210878371264 0.006316917391554   46.48914041857 -18.66845597159   -1.853894926598 0.8160749283337   
3.549999698556 -1.222891121326 -1.197586217241   0.007755932372312 0.006660478178236   49.55794153544 -17.39259721262   -1.88168427191 0.8653164586211   
3.612831551628 -1.120333625673 -1.138120747951   0.00829069505328 0.006908761944659   52.30546545609 -16.12706307041   -1.893154747458 0.9046985677183   
3.6756634047 -1.015209975995 -1.072597941492   0.008812295807795 0.007068480394958   54.72759533199 -14.87151297488   -1.889495495518 0.9342239074059   
3.738495257772 -0.90826293343 -1.001556463339   0.00931786807023 0.00714651566162   56.82342175066 -13.6252891171   -1.871964701366 0.9540300626847   
3.801327110844 -0.8001978277745 -0.9255901826079   0.009804617003903 0.00714979505154   58.59484729572 -12.38752700129   -1.841861531577 0.9643709538961   
3.864158963915 -0.6916776621568 -0.8453323815334   0.0102698768987 0.007085188771097   60.04621358687 -11.15725149187   -1.800501868342 0.9655989515795   
3.926990816987 -0.5833194937999 -0.7614413247701   0.01071115820124 0.006959427711138   61.18395755656 -9.933458573184   -1.749197627001 0.9581479464766   
3.989822670059 -0.4756918749868 -0.6745872869325   0.01112618486343 0.006779038613533   62.01629388564 -8.715183401727   -1.689239385638 0.9425175446614   
4.052654523131 -0.3693133193911 -0.5854410791347   0.01151292259815 0.00655029418724   62.55292459663 -7.501555461181   -1.621882051243 0.919258497761   
4.115486376203 -0.2646516302112 -0.4946640705924   0.01186959880341 0.006279175985247   62.80477601036 -6.291841803125   -1.548333279412 0.8889594289391   
4.178318229274 -0.1621240134494 -0.4028996656995   0.01219471512337 0.005971348089685   62.78375953536 -5.085479459767   -1.469744355364 0.8522348756913   
4.241150082346 -0.06209782847628 -0.3107661714629   0.01248705336192 0.005632139874542   62.50255874147 -3.882098161692   -1.387203270605 0.8097146390543   
4.303981935418 0.03510811173644 -0.2188509714587   0.01274567576749 0.005266536323132   61.9744383589 -2.681534507768   -1.301729721642 0.7620344045436   
4.36681378849 0.1292217814007 -0.1277059091591   0.01296992051112 0.004879174569224   61.21307426397 -1.483838717684   -1.214271782655 0.7098275819059   
4.429645641562 0.2200158323543 -0.03784377702369   0.01315939308408 0.004474345504156   60.23240471379 -0.2892750455749   -1.125704025686 0.6537182974811   
4.492477494633 0.307305207332 0.05026419671137   0.01331395448832 0.004055999450406   59.04649872302 0.9016831212279   -1.036826866663 0.5943154640239   
4.555309347705 0.390944542196 0.1361899715597   0.01343370679882 0.003627755042988   57.66944227555 2.088362527137   -0.9483669488969 0.5322078472003   
4.618141200777 0.4708254444797 0.2195495345135   0.01351897680782 0.003192910585896   56.11523922944 3.269902806926   -0.8609783831666 0.4679600452436   
4.680973053849 0.5468736707856 0.300003058214   0.01357029822563 0.00275445726198   54.39772692689 4.445271950842   -0.775244690456 0.4021092976193   
4.743804906921 0.6190462914141 0.3772544742282   0.01358839300831 0.002315093673012   52.53050370068 5.613283765104   -0.6916813027583 0.3351630397857   
4.806636759992 0.6873288485795 0.4510505518271   0.01357415214192 0.001877241271618   50.52686873697 6.772616715782   -0.6107385033424 0.2675971235563   
4.869468613064 0.751732566946 0.5211795663357   0.01352861634117 0.001443060322551   48.39977126642 7.921833599421   -0.5328046924417 0.1998546261211   
4.932300466136 0.8122916291888 0.5874696333899   0.01345295689274 0.001014466094464   46.16176945403 9.059401583493   -0.4582098888385 0.132345174918   
4.995132319208 0.8690605569829 0.6497867785328   0.01334845692581 0.0005931450397467   43.82499746502 10.18371221157   -0.3872293848583 0.0654447202186   
5.05796417228 0.922111693926 0.7080328046981   0.01321649332927 0.0001805707678367   41.40113935428 11.2931010426   -0.3200874843838 -0.0005043077837037   
5.120796025351 0.9715328243898 0.7621430126046   0.01305851944203 -0.0002219803420138   38.9014098124 12.38586665176   -0.2569612683539 -0.06519251554217   
5.183627878423 1.017424925245 0.8120838231285   0.01287604867991 -0.0006134140073571   36.33654010996 13.46028876938   -0.1979843364307 -0.1283427894725   
5.246459731495 1.0599000637 0.8578503438902   0.01267063916437 -0.0009928034785446   33.71676913235 14.51464539117   -0.1432504865261 -0.1897093141542   
5.309291584567 1.099079438052 0.8994639168996   0.01244387941455 -0.001359375609089   31.05183884012 15.54722872807   -0.09281729968703 -0.2490764087166   
5.372123437639 1.135091573837 0.9369696785235   0.0121973751724 -0.001712497604905   28.35099298632 16.55635990095   -0.04670960266429 -0.3062572201305   
5.43495529071 1.168070659558 0.9704341579495   0.01193273732978 -0.002051664480328   25.62297946871 17.54040232926   -0.004922790934109 -0.3610923077636   
5.497787143782 1.198155035994 0.999942936146   0.01165157099163 -0.00237648723427   22.87605520506 18.4977737738   0.03257400474603 -0.4134481494831   
5.560618996854 1.225485820222 1.025598382994   0.01135546564869 -0.002686681749128   20.11799324879 19.42695703394   0.06583491844945 -0.4632155957908   
5.623450849926 1.250205668973 1.047517486804   0.01104598642803 -0.00298205840534   17.35609188843 20.3265093054   0.09493452245581 -0.5103082949646   
5.686282702998 1.272457671857 1.065829787013   0.01072466637638 -0.003262512398092   14.59718553242 21.19507023525   0.1199651770561 -0.5546611090059   
5.749114556069 1.292384370055 1.080675418313   0.0103929997477 -0.00352801473618   11.84765674116 22.03136871028   0.1410345592347 -0.5962285372146   
5.811946409141 1.310126891112 1.092203271712   0.01005243624334 -0.003778603899519   9.113449149076 22.83422843709   0.1582633687628 -0.6349831616091   
5.874778262213 1.325824192018 1.100569275932   0.009704376113239 -0.004014378128335   6.40008179084 23.60257237356   0.1717832069506 -0.6709141259964   
5.937610115285 1.339612409402 1.1059348009   0.009350166120276 -0.004235488314904   3.712663436692 24.33542607957   0.1817346269639 -0.7040256583713   
6.000441968357 1.351624301582 1.108465183155   0.008991096255545 -0.004442131467566   1.055907808503 25.03192006064   0.1882653473486 -0.7343356444283   
6.063273821428 1.361988779478 1.108328372022   0.00862839717292 -0.004634544715646   -1.565851028126 25.69129117717   0.1915286239009 -0.7618742582689   
6.1261056745 1.370830520387 1.105693694106   0.008263238279159 -0.004812999823975   -4.148643126097 26.31288319614   0.1916817725019 -0.7866826549215   
6.188937527572 1.37826965326 1.100730732743   0.007896726410733 -0.004977798185876   -6.688846891866 26.89614656261   0.1888848349521 -0.8088117280018   
6.251769380644 1.384421512415 1.093608318506   0.007529905058687 -0.005129266263718   -9.183173538357 27.44063746362   0.1832993809071 -0.828320934689   
6.314601233715 1.389396453928 1.084493626069   0.007163754071355 -0.0052677514473   -11.62865150967 27.94601626021   0.1750874370248 -0.8452771892517   
6.377433086787 1.393299722663 1.073551372518   0.0067991897914 -0.00539361830104   -14.02261115793 28.41204535749   0.1644105358945 -0.8597538255143   
6.440264939859 1.396231373153 1.060943111721   0.00643706557493 -0.005507245172265   -16.36266962209 28.83858658254   0.151428876396 -0.8718296279645   
6.503096792931 1.398286230426 1.046826619307   0.006078172644838 -0.005609021133861   -18.64671598039 29.22559813344   0.1363005878034 -0.8815879305784   
6.565928646003 1.399553891623 1.031355362595   0.005723241242185 -0.005699343236098   -20.87289683993 29.57313116263   0.1191810902303 -0.8891157819963   
6.628760499074 1.400118760158 1.014678049836   0.005372942021855 -0.00577861404364   -23.03960214689 29.88132605256   0.1002225432864 -0.8945031752482   
6.691592352146 1.400060109557 0.996938253157   0.005027887666974 -0.005847239435079   -25.14545149056 30.15040843691   0.07957337653997 -0.8978423399224   
6.754424205218 1.399452173565 0.9782740996153   0.004688634681277 -0.005905626643775   -27.18928079323 30.38068501901   0.05737789452891 -0.899227094423   
6.81725605829 1.398364256478 0.9588180250235   0.004355685330021 -0.005954182519938   -29.17012947196 30.57253923274   0.03377595004811 -0.8987522557556   
6.880087911362 1.396860862336 0.9386965851964   0.004029489692744 -0.005993311995389   -31.08722791499 30.72642679017   0.008902678997258 -0.8965131041664   
6.942919764433 1.395001839644 0.9180303196616   0.003710447815411 -0.006023416733481   -32.93998557423 30.84287115322   -0.01711170812681 -0.8926048998553   
7.005751617505 1.392842537401 0.8969336628883   0.0033989119246 -0.006044893948005   -34.72797940973 30.92245896617   -0.04414208443513 -0.8871224489376   
7.068583470577 1.390433972568 0.8755148984534   0.003095188688977 -0.006058135376011   -36.45094281415 30.96583547988   -0.07206851920159 -0.8801597158074   
7.131415323649 1.387823002259 0.8538761517662   0.002799541506538 -0.006063526390536   -38.10875499505 30.97369999698   -0.1007763497398 -0.8718094790736   
7.194247176721 1.385052504057 0.8321134171581   0.002512192800503 -0.006061445240333   -39.70143078053 30.94680136323   -0.1301562170751 -0.862163028265   
7.257079029792 1.38216155898 0.8103166155111   0.002233326313201 -0.006052262404639   -41.22911095685 30.88593352635   -0.1601040692078 -0.8513098985677   
7.319910882864 1.379185634839 0.7885696787   0.001963089374266 -0.006036340051994   -42.69205292076 30.79193118426   -0.190521136483 -0.8393376409161   
7.382742735936 1.376156773082 0.7669506575096   0.001701595143794 -0.006014031592892   -44.09062186291 30.6656655367   -0.221313881822 -0.8263316248471   
7.445574589008 1.373103772102 0.7455318498173   0.001448924809704 -0.005985681317016   -45.42528228393 30.50804015731   -0.2523939297023 -0.8123748716263   
7.50840644208 1.370052370677 0.7243799461588   0.00120512974212 -0.00595162410641   -46.69659003859 30.31998699629   -0.2836779761889 -0.7975479152431   
7.571238295151 1.367025427644 0.7035561899384   0.0009702335853396 -0.00591218521677   -47.90518466163 30.10246252491   -0.315087683436 -0.7819286889901   
7.634070148223 1.36404309862 0.6831165498227   0.0007442342919498 -0.00586768011965   -49.0517821691 29.8564440296   -0.3465495605287 -0.7655924354453   
7.696902001295 1.361123007956 0.6631119020458   0.0005271060854469 -0.005818414399006   -50.13716814886 29.58292606217   -0.377994833432 -0.7486116377902   
7.759733854367 1.358280416896 0.6435882205715   0.0003188013585329 -0.005764683696013   -51.16219134511 29.28291705033   -0.4093593053952 -0.731055970507   
7.822565707439 1.355528384771 0.6245867731944   0.0001192524888139 -0.005706773696767   -52.12775742455 28.95743607281   -0.4405832105357 -0.7129922676175   
7.88539756051 1.352877926902 0.6061443219315   -7.162641287052e-05 -0.005644960157776   -53.03482324345 28.60750980017   -0.4716110613345 -0.694484506729   
7.948229413582 1.350338164876 0.5882933261371   -0.000253937835632 -0.005579508964736   -53.8843913656 28.23416960242   -0.5023914921012 -0.6755938072652   
8.011061266654 1.347916471681 0.5710621469841   -0.0004277992805925 -0.005510676220475   -54.67750487168 27.83844882362   -0.5328770996729 -0.65637844137   
8.073893119726 1.345618610253 0.5544752520886   -0.0005933417485223 -0.005438708358285   -55.41524252633 27.42138022181   -0.5630242822303 -0.6368938560732   
8.136724972798 1.343448865681 0.5385534192023   -0.0007507083065993 -0.005363842277257   -56.09871421081 26.98399357239   -0.5927930774996 -0.6171927054018   
8.199556825869 1.341410171638 0.5233139379938   -0.0009000527326289 -0.005286305496542   -56.72905662326 26.52731343275   -0.6221470012216 -0.5973248912244   
8.262388678941 1.339504229544 0.50877080912   -0.001041538234345 -0.005206316325739   -57.30742927017 26.05235706428   -0.651052886592 -0.577337611703   
8.325220532013 1.337731622803 0.4949349398203   -0.001175336243941 -0.005124084048942   -57.83501069169 25.56013250838   -0.6794807254775 -0.5572754163178   
8.388052385085 1.336091923214 0.4818143354545   -0.00130162528511 -0.005039809120138   -58.31299494819 25.05163681193   -0.7074035118855 -0.5371802665088   
8.450884238157 1.334583792904 0.4694142864013   -0.001420589912148 -0.004953683367977   -58.74258830697 24.52785439824   -0.7347970883818 -0.5170916010636   
