0.0314159265359 -2.645085014771 4.776553015722   0.03897008775381 0.1615065490059   42.5141795383 -32.47903590131   2.046341219185 -2.316191007135   
0.09424777960769 -1.763667176105 1.509334009592   -0.2012148937436 -0.4999563929703   -8.136309910737 -15.65763713392   1.934945857583 -2.241583615534   
0.1570796326795 2.157231486202 6.369393449956   0.318863653856 -0.3831188740887   8.531416551369 10.31209182964   1.649920505593 -1.293841538631   
0.2199114857513 0.7258016759236 -2.250190085426   0.0008654171336491 -0.1157700360393   14.58118314296 28.2861028475   1.807533567339 1.750818771557   
0.2827433388231 4.60554459544 1.897779449178   -0.1059425795483 0.007701738291529   39.97643391688 27.01202166879   -1.35447458614 -1.433116668988   
0.3455751918949 -1.337509205495 4.466580700762   -0.02730107202872 0.01112252419445   -2.610004977157 8.330723258489   -0.3114971585997 -0.05184935922088   
0.4084070449667 -1.494357217076 0.9342513957718   0.01451238947451 0.004276991198196   23.43190166574 12.04333372508   0.3044165948214 0.02175363046124   
0.4712388980385 -0.08903539482878 -0.9477205856052   0.003090156744753 0.01603410131873   -4.322825021449 35.40619086795   0.5582627978813 0.02311802033995   
0.5340707511103 1.045136130599 0.4857603683944   0.02342415543839 -0.01361604335405   -12.30104150074 -10.6764301871   -0.9053035323278 -0.1825546687063   
0.5969026041821 0.5712140306602 1.163106841462   0.04106804265735 0.03306710067122   34.34667500886 -20.90039495535   1.420633130298 -3.335015912103   
0.6597344572539 0.123697301703 0.9461556774507   0.004167305634387 0.03490837272664   27.42165706767 21.46398681151   3.451684223322 0.2243515454113   
0.7225663103257 0.04371405976481 0.8155520068228   -0.0007918537418072 0.02476680860025   1.305777019084 23.12039465475   2.02820654874 2.002851432906   
0.7853981633974 -0.1401771555355 0.729882345876   0.0008438105383447 0.02498858406747   -18.37242424467 3.040122430682   0.2782751594482 2.592521456721   
0.8482300164692 0.1762321945634 -0.2324706442379   -0.02034262300773 0.02135416517617   27.05833536128 -17.76018135132   -1.538243596621 0.9090799000908   
0.911061869541 0.7804334102666 0.6204763762889   0.004783244327357 0.01245267720559   -7.197332094899 -0.07065336259801   -1.65074172115 0.3225793075918   
0.9738937226128 0.4801091279784 1.128852066245   0.003371787472638 0.03927142507811   5.507067791554 -31.0996181196   -1.184702730406 -1.797061464728   
1.036725575685 0.06752380209856 0.9883352465027   -0.0246899113512 0.03751880499412   31.23407997915 -14.6948924212   0.9279304413494 -1.43315610497   
1.099557428756 0.08306993017092 0.7792618720821   -0.03083954056578 0.02276811348393   26.24461406187 1.177350448855   1.098344039724 -0.3476282193139   
1.162389281828 0.1951518987896 0.6971772542761   -0.02964939607649 0.01482183600665   18.40610896741 5.861911667972   0.7942215939805 0.09708126712211   
1.2252211349 0.3366712824043 0.6653219580574   -0.02771614796093 0.01115251386939   12.02015691668 6.589160483604   0.5038143196842 0.2293974560549   
1.288052987972 0.5254450156533 0.650873103303   -0.02628991682968 0.01038471158953   6.242909851881 5.671232606762   0.2814183916304 0.2143016294994   
1.350884841044 0.8098058482037 0.6397435410464   -0.02619275637623 0.01285210458683   -0.2140053291241 3.332117005954   0.1392088161711 0.1048250398418   
1.413716694115 1.296967628699 0.6117413457521   -0.02958230301889 0.02104135411457   -9.31170231535 -1.545677451148   0.1323251808661 -0.09564618962598   
1.476548547187 2.261572090324 0.3947410538386   -0.04253574038847 0.0442094836911   -26.34288694047 -11.22226549835   0.4734015022773 -0.4265544008302   
1.539380400259 3.313364407449 -1.995486396552   -0.04109373384076 0.1253119625724   -69.46871100583 -1.102601769698   1.508900857486 -1.590340945555   
1.602212253331 -0.7337909180644 -1.513006338525   0.03666004653772 0.08160544992326   -19.44912463129 37.64383430805   0.3870129315629 -2.17089520002   
1.665044106403 -0.807906872212 0.1935297346437   0.006651173212657 0.03911077879631   5.559883623812 18.86183325203   0.3676933477079 -1.289748251731   
1.727875959474 -0.6832486125771 0.6495052564781   -0.007990752697322 0.0221512858048   13.19683002763 14.25837167002   0.3470158988991 -0.8463981697948   
1.790707812546 -0.5938158651799 0.7766221573123   -0.01324833584913 0.012643935516   16.18776831288 14.91938542578   0.2464085849038 -0.6469648003957   
1.853539665618 -0.511829952635 0.7943347541363   -0.01475210941875 0.006935980276779   17.24980570042 17.36551350267   0.1297103194523 -0.5814159107696   
1.91637151869 -0.4275464939962 0.7654601510392   -0.01471869665774 0.003414910229031   17.3652994616 20.64588674319   0.01745178998598 -0.5939441654587   
1.979203371762 -0.33630666995 0.711616000022   -0.0140302316786 0.001258921641486   16.88961785679 24.50661413916   -0.08678696025499 -0.6588884115793   
2.042035224833 -0.2348482727414 0.6424465449843   -0.01308423804554 2.817086401734e-05   15.91887658663 28.88426361108   -0.1836993621573 -0.7660446237628   
2.104867077905 -0.1209839398468 0.5641719572003   -0.0120965180205 -0.0005332328042751   14.43185839492 33.77174869646   -0.2744528042634 -0.9137746817484   
2.167698930977 0.006145488722403 0.4822175443372   -0.01121086325101 -0.0005962192964156   12.34228497266 39.19098900222   -0.3596286372125 -1.106463073281   
2.230530784049 0.1458804573055 0.401844679537   -0.01054013435954 -0.0002968323556907   9.504737146108 45.20521927323   -0.4387453945909 -1.354594987698   
2.293362637121 0.2961232679782 0.3280750447008   -0.01018428266972 0.0002381312947648   5.677534736602 51.95495353899   -0.5093630619397 -1.67726671964   
2.356194490192 0.4537414162066 0.2655452137407   -0.01024614314523 0.0008748077770152   0.4153767559429 59.71649188593   -0.5644241858481 -2.108401794929   
2.419026343264 0.6151815565775 0.2188109142621   -0.0108596507045 0.001447776690428   -7.195807591816 68.98537595552   -0.5840764029164 -2.710538140766   
2.481858196336 0.7769015346478 0.1938479929407   -0.01224812661229 0.001686778189409   -19.24159877444 80.55007139692   -0.5082417687069 -3.606295140473   
2.544690049408 0.9339770414299 0.2026981175362   -0.01482831275024 0.0009456615423914   -41.11732144415 95.1291500359   -0.1286702902323 -5.049848316091   
2.60752190248 1.065603290455 0.2764709172581   -0.01908779957533 -0.002958238146203   -88.59046317952 108.3071176442   1.426993762569 -7.494889363643   
2.670353755551 1.030217083253 0.4437755164601   -0.0201017865407 -0.01708888029718   -189.5184099241 62.78544231344   7.72680520269 -9.577296395511   
2.733185608623 0.7701157645803 0.2400492654291   0.003632812037926 -0.02353800505994   -149.6521893529 -115.4823700244   13.31299224782 -0.09788880870242   
2.796017461695 0.9560990805588 -0.04100741032402   0.0107235012095 -0.007715824252633   -25.00304379099 -104.8796734451   7.455801540298 4.586207506392   
2.858849314767 1.151639255343 -0.1058953260316   0.008233527076904 -0.0004107937058738   10.36345972652 -63.01759931645   4.226362643295 4.234922922683   
2.921681167839 1.288905916444 -0.1197473118262   0.005921442752434 0.002750477164801   20.152231012 -37.1798312039   2.777482178571 3.528039786153   
2.98451302091 1.393005848742 -0.1211570458099   0.004312374968751 0.00441841577536   23.32719614576 -21.08472594754   2.023056408013 2.969557624804   
3.047344873982 1.477567713647 -0.1182165118093   0.003194672620663 0.00544223933664   24.50387976946 -10.24843731655   1.578040530105 2.553972073318   
3.110176727054 1.549690792196 -0.1129806037347   0.002402923567389 0.006142564936033   25.04943129797 -2.425429109333   1.291234283823 2.240403042811   
3.173008580126 1.61373869521 -0.1060121937588   0.001836782886581 0.006664756531117   25.44134723521 3.561335103606   1.094297890498 1.99810479257   
3.235840433197 1.672890510426 -0.0974201418643   0.001435758019476 0.00708629521304   25.86961328347 8.379740520516   0.9526010750525 1.806695540242   
3.298672286269 1.729828594685 -0.08714533514402   0.001162615417241 0.007455151699331   26.42165651274 12.43992058272   0.8469553060479 1.652762586936   
3.361504139341 1.787113784166 -0.07505099470481   0.0009943915557688 0.007805794512307   27.14881098692 16.0144269521   0.7659474521687 1.527352722414   
3.424335992413 1.847464545877 -0.06095368821264   0.0009177633036632 0.008167091005945   28.09456401335 19.30071329524   0.7023842981529 1.424417951445   
3.487167845485 1.914049224292 -0.04463604196781   0.0009269568139014 0.008567209949356   29.31019041054 22.45722142447   0.6515030690998 1.339892347613   
